,trial_num,move_times,elbow_start_volts,elbow_start_pix,elbow_start_cm,elbow_start_deg,elbow_end_volts,elbow_end_pix,elbow_end_cm,elbow_end_deg,cursor_end_pix,curs_end_cm,curs_end_deg,mean_velocity,error,block,trial_delay,target_cm,target_deg,target_pix,rt,target_pos,target_amp,full_feedback,terminal_feedback,rotation_direction,rotation,rotation_angle,clamp,clamp_angle,vibration,trial_type,participant_id
0,2,0.677768699999433,4.196734137833118,-1683.4987260572616,-52.40944679722324,75.59203266779332,3.6947038558428176,-385.3809223510823,-11.99739603838398,110.25956763758724,-385.3809223510823,-11.99739603838398,110.25956763758724,51.14950715461327,-9.751358091088465,post,2.497,-0.6302083081907877,120.01092572867572,-20.243581049325343,0.6243666000000303,0,1,0,0,0,0,0,0,0,0,0,1
1,3,0.55580480000026,4.198667502205353,-1688.4958929501772,-52.5650149294454,75.45857832527105,3.676014666911215,-335.72795502438066,-10.451636300550645,111.58559981759277,-335.72795502438066,-10.451636300550645,111.58559981759277,64.99947732064354,-11.181093899380926,post,1.779,2.5821988017960003,122.76669371697368,82.9455119049353,0.7170157999998992,0,1,0,0,0,0,0,0,0,0,0,1
2,4,0.5941006000002744,4.197700820019236,-1685.9973095037185,-52.48723086333429,75.52530549653216,3.62445828365162,-203.07045129519904,-6.321840253582615,115.1283512045677,-203.07045129519904,-6.321840253582615,115.1283512045677,66.66050448024671,-5.424978062369519,post,2.416,0.0020731430025768,120.55332926693724,0.0665935974725385,0.7000486999995701,0,1,0,0,0,0,0,0,0,0,0,1
3,5,0.6421335000004547,4.197056365228491,-1684.3315872060812,-52.43537481926028,75.56979027737293,3.6599032971425913,-294.5686731119061,-9.170295743402887,112.68479962901088,-294.5686731119061,-9.170295743402887,112.68479962901088,57.799521986645566,-6.9582924629696095,post,2.151,-1.0589930951647557,119.64309209198048,-34.01702623405214,0.8085734999995111,0,1,0,0,0,0,0,0,0,0,0,1
4,6,0.5899217999995017,4.196411910437746,-1682.665864908442,-52.38351877518621,75.61427505821365,3.731437778915279,-478.1717038992573,-14.886090549137313,107.78149696094164,-478.1717038992573,-14.886090549137313,107.78149696094164,54.52794235228323,-12.320848264154732,post,2.254,-0.523640323679728,120.10234522509636,-16.820399216153152,0.6539179000001241,0,1,0,0,0,0,0,0,0,0,0,1
5,7,0.5452744000003804,4.198989729600726,-1689.328754098995,-52.590942951482376,75.43633593485066,3.632836195931304,-224.5812505042987,-6.99149866749502,114.55388378590924,-224.5812505042987,-6.99149866749502,114.55388378590924,71.73919745917156,-5.8019131659796415,post,2.426,-0.228190876322714,120.35579695188888,-7.329958109909543,0.7279702999994697,0,1,0,0,0,0,0,0,0,0,0,1
6,8,0.6939353000007031,4.199311956996098,-1690.1616152478146,-52.61687097351942,75.41409354443027,3.662158888910199,-299.15195199777014,-9.312979017947494,112.56239857989316,-299.15195199777014,-9.312979017947494,112.56239857989316,53.53280779263608,-10.624240985291609,post,2.178,3.0717309519375275,123.18663956518478,98.6702867592846,0.6657748999996329,0,1,0,0,0,0,0,0,0,0,0,1
7,9,0.5719417999998768,4.200278639182216,-1692.6601986942733,-52.69465503963052,75.34736637316917,3.618658190534916,-187.31573872575024,-5.831376104466303,115.5490965694191,-187.31573872575024,-5.831376104466303,115.5490965694191,70.2898969724867,-5.755048598737375,post,2.281,0.8773015183991437,121.30414516815648,28.180720821333125,0.6989050000001953,0,1,0,0,0,0,0,0,0,0,0,1
8,10,0.558141099999375,4.196734137833118,-1683.4987260572616,-52.40944679722324,75.59203266779332,3.625102738442365,-203.1551247244093,-6.324476244637817,115.12608991590828,-203.1551247244093,-6.324476244637817,115.12608991590828,70.83165394585566,-6.145884934426562,post,2.058,0.8398004812510247,121.27197485033484,26.976110734358706,0.8798384000001533,0,1,0,0,0,0,0,0,0,0,0,1
9,11,0.6720856000001731,4.197700820019236,-1685.9973095037185,-52.48723086333429,75.52530549653216,3.560012804577127,-35.4816205308568,-1.1045877699273965,119.6039786356701,-35.4816205308568,-1.1045877699273965,119.6039786356701,65.58490933167828,-2.401606969694825,post,1.773,1.694972765503041,122.00558560536491,54.44599525094219,0.672835400000622,0,1,0,0,0,0,0,0,0,0,0,1
10,12,0.625998399999844,4.197700820019236,-1685.9973095037185,-52.48723086333429,75.52530549653216,3.618980417930288,-187.33013823649287,-5.831824379466747,115.54871201607516,-187.33013823649287,-5.831824379466747,115.54871201607516,63.93531759754177,-3.960548040048877,post,2.406,-1.215001505653194,119.50926005612403,-39.02833576623784,0.6299183000000994,0,1,0,0,0,0,0,0,0,0,0,1
11,13,0.6360568000000058,4.199311956996098,-1690.1616152478146,-52.61687097351942,75.41409354443027,3.726926595380064,-466.5217735511331,-14.523413467580315,108.09262000893176,-466.5217735511331,-14.523413467580315,108.09262000893176,51.37674255585538,-11.241171697520455,post,2.481,-1.4195454935567722,119.33379170645222,-45.598707409172064,0.7827581999999893,0,1,0,0,0,0,0,0,0,0,0,1
12,14,0.5779532999995354,4.197378592623863,-1685.164448354899,-52.46130284129726,75.54754788695254,3.646369746536948,-260.2587284182727,-8.10218372573125,113.60108103589268,-260.2587284182727,-8.10218372573125,113.60108103589268,65.84188229216917,-6.597999534868052,post,2.459,-0.4108756375671887,120.19908057076074,-13.19816664138068,0.746776800000589,0,1,0,0,0,0,0,0,0,0,0,1
13,15,0.6880241000008027,4.197056365228491,-1684.3315872060812,-52.43537481926028,75.56979027737293,3.587079905788414,-106.89733186153325,-3.327849282121515,117.69675059913872,-106.89733186153325,-3.327849282121515,117.69675059913872,61.228902187752766,-5.209425542288756,post,2.161,2.7447938874258853,122.90617614142748,88.16839892719607,0.6208807999992132,0,1,0,0,0,0,0,0,0,0,0,1
14,16,0.5939334999993662,4.200278639182216,-1692.6601986942733,-52.69465503963052,75.34736637316917,3.588368815369904,-108.06042846725263,-3.364057952038506,117.66568894037644,-108.06042846725263,-3.364057952038506,117.66568894037644,71.25094403203799,-5.126993649604174,post,2.076,2.612494109957855,122.7926825899806,83.91865922498481,0.708436800000527,0,1,0,0,0,0,0,0,0,0,0,1
15,17,0.7618450999998458,4.198667502205353,-1688.4958929501772,-52.5650149294454,75.45857832527105,3.587079905788414,-105.98187434767794,-3.299349930666773,117.72119880814132,-105.98187434767794,-3.299349930666773,117.72119880814132,55.474033347302246,-4.315578358873154,post,2.017,1.7313328636100644,122.03677716701446,55.61395604013589,0.7367618999996921,0,1,0,0,0,0,0,0,0,0,0,1
16,18,0.7060043000001315,4.198667502205353,-1688.4958929501772,-52.5650149294454,75.45857832527105,3.618658190534916,-187.11259991429543,-5.825052136074402,115.55452159465928,-187.11259991429543,-5.825052136074402,115.55452159465928,56.79277487315697,-5.812391662996731,post,2.031,0.9504704708816512,121.36691325765602,30.53105736977713,0.6960435000000871,0,1,0,0,0,0,0,0,0,0,0,1
17,19,0.6279330000006667,4.197700820019236,-1685.9973095037185,-52.48723086333429,75.52530549653216,3.569035171647556,-59.98942114471424,-1.8675466320330203,118.94947329540906,-59.98942114471424,-1.8675466320330203,118.94947329540906,69.15414192092278,-3.455040326473693,post,2.23,2.160004365433311,122.40451362188276,69.38376227389915,0.6797710000000734,0,1,0,0,0,0,0,0,0,0,0,1
18,20,0.7231388000000152,4.198667502205353,-1688.4958929501772,-52.5650149294454,75.45857832527105,3.53552352252882,26.77633064079528,0.8335810739995098,121.26663952301703,26.77633064079528,0.8335810739995098,121.26663952301703,63.3461531835175,-1.6264695288447513,post,2.234,2.7295615414498364,122.8931090518618,87.67910479011503,0.7027253999995082,0,1,0,0,0,0,0,0,0,0,0,1
19,21,0.7240319000002273,4.199956411786843,-1691.8273375454537,-52.66872701759348,75.36960876358955,3.526823382853763,50.78715829262977,1.5810685385865866,121.90787270300817,50.78715829262977,1.5810685385865866,121.90787270300817,64.27653800806843,-0.1379734896001991,post,2.063,1.7419046542767758,122.04584619260837,55.95354359938667,0.6567755999994915,0,1,0,0,0,0,0,0,0,0,0,1
20,22,0.8342726000000766,4.200600866577588,-1693.493059843091,-52.7205830616675,75.32512398274878,3.715004181751283,-437.0784549889816,-13.606805682951505,108.87893329495704,-437.0784549889816,-13.606805682951505,108.87893329495704,40.21923926568509,-10.793653422504375,post,1.922,-1.024611120701112,119.67258671746144,-32.91260682598572,0.829962599999817,0,1,0,0,0,0,0,0,0,0,0,1
21,23,0.6237027999995917,4.1960896830423735,-1681.8330037596224,-52.35759075314917,75.63651744863404,3.591268861928256,-117.19312672850494,-3.648370411697543,117.42179109425136,-117.19312672850494,-3.648370411697543,117.42179109425136,66.99548830892641,-2.6290104443440896,post,1.88,-0.583724955511399,120.05080153859544,-18.750440598494112,0.7419583999999304,0,1,0,0,0,0,0,0,0,0,0,1
22,24,0.628120499999568,4.198667502205353,-1688.4958929501772,-52.5650149294454,75.45857832527105,3.576446401741123,-77.29204832620096,-2.406199322815914,118.48738932185064,-77.29204832620096,-2.406199322815914,118.48738932185064,68.50407047152446,-2.696200894269964,post,2.295,0.736770244827234,121.1835902161206,23.66656861238347,0.7108531000003495,0,1,0,0,0,0,0,0,0,0,0,1
23,25,0.6440945000003921,4.197056365228491,-1684.3315872060812,-52.43537481926028,75.56979027737293,3.5538904840650503,-19.77416563943384,-0.6155948121603377,120.0234619369392,-19.77416563943384,-0.6155948121603377,120.0234619369392,69.0173129246395,-2.9974951001534578,post,2.456,2.8785943259574944,123.02095703709269,92.46634293498896,0.6578042999999525,0,1,0,0,0,0,0,0,0,0,0,1
24,26,0.6280570999997508,4.199311956996098,-1690.1616152478146,-52.61687097351942,75.41409354443027,3.6566810231888662,-285.4747278852567,-8.887189714775733,112.92766253656684,-285.4747278852567,-8.887189714775733,112.92766253656684,59.729551647694834,-7.392445176274151,post,2.445,-0.2697939306271282,120.32010771284098,-8.666333385774562,0.7609000000002197,0,1,0,0,0,0,0,0,0,0,0,1
25,27,0.5880225000000792,4.196734137833118,-1683.4987260572616,-52.40944679722324,75.59203266779332,3.587079905788414,-106.02234523127444,-3.300609840512772,117.72011799269576,-106.02234523127444,-3.300609840512772,117.72011799269576,71.6436621471062,-5.171523486219911,post,1.806,2.727850787211201,122.89164147891566,87.62415186163854,0.7318564999995942,0,1,0,0,0,0,0,0,0,0,0,1
26,28,0.6483773999998448,4.199311956996098,-1690.1616152478146,-52.61687097351942,75.41409354443027,3.586113223602297,-103.45345704264886,-3.2206370987661246,117.78872272245016,-103.45345704264886,-3.2206370987661246,117.78872272245016,65.35488309436762,-2.511673087294838,post,2.172,-0.2927721559079645,120.300395809745,-9.404441023831035,0.6937563000001319,0,1,0,0,0,0,0,0,0,0,0,1
27,29,0.6241621999997733,4.200278639182216,-1692.6601986942733,-52.69465503963052,75.34736637316917,3.5990023194171954,-135.49403280957787,-4.218100788532023,116.93304708370532,-135.49403280957787,-4.218100788532023,116.93304708370532,66.62640049421653,-3.4092744766593626,post,2.382,-0.2438991811313644,120.3423215603647,-7.834541019097648,0.6217753000000812,0,1,0,0,0,0,0,0,0,0,0,1
28,30,0.5938077999999223,4.197378592623863,-1685.164448354899,-52.46130284129726,75.54754788695254,3.605769094720017,-153.5567868620953,-4.780417191196495,116.4506631613998,-153.5567868620953,-4.780417191196495,116.4506631613998,68.88275174972881,-2.8704853913658326,post,1.566,-1.4342836561916203,119.32114855276564,-46.07212736561981,0.7219134000006306,0,1,0,0,0,0,0,0,0,0,0,1
29,1,0.6080282000002626,4.176756039320026,-1683.9874903922137,-52.42466264978824,74.53514057652711,3.5590461223910097,-79.58377702189031,-2.4775437386395565,117.440059031998,-79.58377702189031,-2.4775437386395565,117.440059031998,70.56402722020519,-3.533185943462797,post,2.345,1.6355618167640809,120.9732449754608,52.53759394873282,0.5448421000000963,0,1,0,0,0,0,0,0,0,0,0,2
30,2,0.6781665000007706,4.179656085878378,-1691.5099211599245,-52.65884544363534,74.33397594696044,3.574190809973516,-119.78004378084256,-3.728904414797648,116.3651316099688,-119.78004378084256,-3.728904414797648,116.3651316099688,61.97763478874379,-3.728513389335234,post,2.08,0.6115886643866784,120.09364499930405,19.645479971381533,0.4379874999995081,0,1,0,0,0,0,0,0,0,0,0,2
