participant,NV,BV,TV,DV
1,-5.545165769792287,-9.990595849678511,-7.299031095706227,-7.821923340487045
2,-4.961810679103112,-6.194922317872793,-3.702384837437497,-5.11301540710797
3,-3.1519490453339234,-7.082071985438378,-0.2861660724576988,-3.3837637432483185
4,-6.965631043606682,-10.056988026392533,-5.956563560546937,-6.277055822659792
5,-2.64669908819131,-6.347222208525012,-2.763462820447334,-4.3339193259197355
6,-4.471516198105983,-11.65569348774652,-5.075613776482896,-7.65556346671981
7,0.5465018189869015,-5.674303245186494,2.530328999369264,-0.21178195705477756
8,-5.169742290364192,-9.557376949712397,-3.727714538192479,-9.776087094382113
9,1.400691527486648,-0.974497124153613,4.81957595178669,0.6805206109972375
10,-1.581843724848437,-4.4754787858652465,-0.40823223972135453,-3.230712315772296
11,-0.8043392531224659,-4.374945986199266,2.790032190712493,-4.549052264281171
12,-3.23052911244767,-6.871090719672177,-1.2311098026491607,-4.184871648183063
13,2.7415738110579717,-5.948739685906471,7.870527177217078,-0.9670076211787146
14,-5.147510605989008,-6.711589516897274,0.3216248781371007,-3.6156459339622407
