participant,NV,BV,TV,DV
1,-0.6082951429077209,-0.3852644733664257,-0.5492489679980365,-0.47228751541908887
2,-1.6783703762489461,-0.5661410477534203,-0.9761585438755598,-1.6887722308944477
3,-1.8526431061320559,-0.7174329111121334,-11.659102228059739,-1.138303718561083
4,-0.7650406585518221,-0.3270455993225834,-1.3775484098813189,-0.5368948248013038
5,-1.0340254637948019,-0.4362976796960078,-1.1620129062261306,-0.6686410655018777
6,-1.5835644286901318,-0.4358049374163895,-2.1366027403597156,-0.45069440154368107
7,6.3478203441728835,-1.5567365341784136,3.4932549770658676,-16.327106217612535
8,-1.4038463659781835,-0.8395917190468233,-1.2749305579768773,-0.7176196551737511
9,5.999977166685773,-8.576971477397219,1.6921093451321347,11.698613723149219
10,-1.469436139075062,-0.5751216933860515,-7.9102372675769805,-0.8006768089651417
11,-9.087148945120353,-1.0079139654982656,1.1440088266789976,-2.0417951049700522
12,-1.5813542567784542,-0.4450447518353678,-1.998458607343793,-0.5613277898237914
13,3.640606977632004,-0.6874479292290565,0.5170691339119176,-4.616782632079208
14,-1.7832149888841171,-0.680375189203065,15.277809255070753,-1.214809568622356
